publishedAt,title,description,thumbnailurl
2018-07-08T16:00:59Z,The Fluffiest Pancakes You&#39;ll Ever Eat,https://www.buzzfeed.com/marietelling/best-pancake-recipe?utm_term=.qq9nV53Yx#.jbXw618Yd Shop the Tasty kitchenware collection here: ...,https://i.ytimg.com/vi/BPl7D20F2mE/default.jpg
2020-05-15T19:00:02Z,Can This Chef Make Eggos Fancy? • Tasty,Rie is challenged to make Eggo waffles fancy! Check out the newest MAKE IT FANCY MERCH! https://bzfd.it/shopfancyyoutube Subscribe to Rie on YouTube: ...,https://i.ytimg.com/vi/BcfJjV0MpXY/default.jpg
2019-10-11T19:00:00Z,Can This Chef Make Lunchables Fancy? • Tasty,Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Is it possible for Rie to make Lunchables fancy? Shop the NEW ...,https://i.ytimg.com/vi/4h7cYsDBsPo/default.jpg
2018-04-13T20:00:23Z,Making A Giant Macaron: Behind Tasty,Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...,https://i.ytimg.com/vi/oh0k_4SAXpM/default.jpg
2018-10-26T15:00:05Z,Can These Chefs Create These Twin&#39;s Magical Feast?,"Tasty Chefs Alix and Alexis compete to turn twins Drew and Carter's wizard drawing into a delicious, real-world dish. Whose dish will slay the dragon? Follow ...",https://i.ytimg.com/vi/gphcNDhK5jY/default.jpg
2020-04-02T19:00:24Z,Can Bad Bunny Make A Tasty Recipe? • Tasty,"Bad Bunny loves food and he loves Tasty, so we invited him to our office to make a Tasty Recipe video of his own. Check out the behind the scenes footage and ...",https://i.ytimg.com/vi/qQcU5SZ7lRU/default.jpg
2019-05-26T15:00:08Z,Can These Chefs Turn This Fairy Drawing Into A Dessert? • Tasty,"Tasty Chefs Alix and Rie compete to turn Lynden's fairy drawing into delicious, real-world desserts. Whose dish has the right amount of fairy dust? If you want ...",https://i.ytimg.com/vi/vJqEYwrcLBs/default.jpg
2018-11-24T16:00:03Z,How to Make the Creamiest Cheesecake,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/68920.,https://i.ytimg.com/vi/Ov4u0ARMWKQ/default.jpg
2020-04-18T15:00:15Z,Can This Chef Cook A 3-Course Meal With A Dishwasher? • Tasty,This could be a total disaster! It's gonna be a really long day...” This video was filmed before shelter-in-place orders were announced. BuzzFeed employees are ...,https://i.ytimg.com/vi/eQ5pF9y1_UM/default.jpg
2017-11-23T17:00:54Z,12 Healthy Smoothies,Try any of these healthy smoothies to jumpstart your day! Here is what you'll need! https://tasty.co/recipe/cucumber-apple-mint-smoothie ...,https://i.ytimg.com/vi/YuDhbLQtt2k/default.jpg
2018-12-22T16:00:04Z,How To Make Homemade Cinnamon Rolls • Tasty,Wake up to the smell of cinnamon rolls this Christmas! Get the step-by-step recipe here: https://bzfd.it/2A5blb1 Subscribe to Tasty: https://bzfd.it/2ri82Z1 About ...,https://i.ytimg.com/vi/_Q0FYoCl4Cs/default.jpg
2019-12-27T17:00:16Z,Tasty&#39;s Favorite Moments Of 2019 • Tasty,"Rap videos with Alvin, crazy costumes with Katie, and don't forget the Make It Fancy dance with Rie! These are Tasty's favorite moments of 2019! Shop the NEW ...",https://i.ytimg.com/vi/rj61-moUqZA/default.jpg
2020-01-17T17:00:07Z,Can This Chef Make Frozen Fries Fancy? • Tasty,"Rie is challenged to make frozen fries fancy, can she do it? Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz ...",https://i.ytimg.com/vi/TCe2f45SOzo/default.jpg
2019-06-30T15:00:02Z,Can These Chefs Turn This Ice Queen Drawing Into Real Food? • Tasty,"Tasty Chefs Alix and Hannah compete to turn Asmara's ice queen drawing into a delicious, real-world treat. Who will freeze under pressure? Subscribe to Tasty: ...",https://i.ytimg.com/vi/GVP8qLK_8Ig/default.jpg
2019-03-03T16:00:01Z,I Made A Giant 30-Pound Donut For A Bodybuilder • Tasty,"""It's time to go big or go home. I really don't want to go home."" If you want more of Tasty, check out our merch here: https://amzn.to/2GJ2xvv Subscribe to Tasty: ...",https://i.ytimg.com/vi/7ijzCB-A76A/default.jpg
2019-07-13T15:00:01Z,Can This Chef Make SPAM Fancy? • Tasty,"Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz ""It's gonna be a tough day at work."" Subscribe to Tasty: ...",https://i.ytimg.com/vi/9KBQl5HAlWk/default.jpg
2020-04-17T16:00:13Z,Can This Chef Make Tater Tots Fancy? • Tasty,Rie is challenged to make Tater Tots fancy! Check out the newest MAKE IT FANCY MERCH! https://bzfd.it/shopfancyyoutube Follow Rie on Instagram: ...,https://i.ytimg.com/vi/NWttynGJIHI/default.jpg
2016-12-19T20:00:00Z,4 Famous Sandwiches from 4 Cities,"Customize & buy the Tasty Cookbook here: http://bzfd.it/2fpfeu5 Here is what you'll need! 4 Famous Sandwiches from 4 Cities PHILADELPHIA, PA: PHILLY ...",https://i.ytimg.com/vi/FHQw1TpU6j8/default.jpg
2019-11-18T17:00:00Z,How To Build The Ultimate Cheese Board • Tasty,"Impress all your guests this holiday season with the ultimate cheese board, it's almost too pretty to eat! Special thanks to Lady and Larder for the cheese board ...",https://i.ytimg.com/vi/-PNDmXXbWWQ/default.jpg
2019-08-17T15:00:06Z,Can This Chef Make Marshmallows Fancy? • Tasty,Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Can Rie turn marshmallows into a luxury dish? Subscribe to ...,https://i.ytimg.com/vi/dQuRfXhjld4/default.jpg
2018-06-21T22:00:31Z,Pantry Pastas 4 Ways,Get the recipe! - https://tasty.co/compilation/pantry-pastas-4-ways Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook!,https://i.ytimg.com/vi/CKmvWsE1BLs/default.jpg
2020-03-20T16:00:12Z,How To Make The Perfect Egg With Eric Nam • Tasty,Eric Nam stopped by Tasty to cook us his favorite kind of eggs! Eric's YouTube: https://www.youtube.com/user/EricSinging We're mindful of how the current ...,https://i.ytimg.com/vi/YotaVLss8D4/default.jpg
2019-02-24T16:00:02Z,Can This Chef Make Boxed Mac &#39;N&#39; Cheese Fancy? • Tasty,Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Can Rie turn regular boxed mac 'n' cheese into a fancy dish?,https://i.ytimg.com/vi/XEOzx3_C0oo/default.jpg
2018-07-15T15:00:47Z,The Best Homemade Pizza You&#39;ll Ever Eat,Get the recipe for the best homemade pizza: https://www.buzzfeed.com/marietelling/pizza-dough-recipe?utm_term=.ioz4kpD7lA#.lsDMVvejlW To check out ...,https://i.ytimg.com/vi/sv3TXMSv6Lw/default.jpg
2019-10-18T19:00:00Z,Can This Chef Make Candy Corn Fancy?,"Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Rie's back at it again with a ~spooky~ theme, can she make ...",https://i.ytimg.com/vi/C_0CCTK7owM/default.jpg
2019-12-21T16:00:08Z,I Tried To Re-Create This Cheesy Bread Cube • Eating Your Feed • Tasty,This time Rie has been challenged! Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The ...,https://i.ytimg.com/vi/c989XY-icko/default.jpg
2018-07-27T19:00:27Z,9 Essential Egg Recipes,https://www.buzzfeed.com/marietelling/unexpected-ways-to-cook Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook!,https://i.ytimg.com/vi/YfDKe2b9Si4/default.jpg
2019-12-06T17:00:06Z,Can This Chef Make Chocolate Pudding Fancy? • Tasty,Rie must make chocolate pudding into something fancy! Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Check ...,https://i.ytimg.com/vi/FieutD1LRlM/default.jpg
2018-07-29T16:00:09Z,The Best Homemade Pasta You&#39;ll Ever Eat,Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/14508 MUSIC Licensed via Audio Network When The ...,https://i.ytimg.com/vi/YNHqjFyk5gU/default.jpg
2019-03-02T16:00:03Z,I Tried To Re-Create This $180 Sandwich • Eating Your Feed • Tasty,"""I think I can do this, and I think it's going to be a really delicious day."" Eating Your Feed now has merch! Check it out: https://bzfd.it/shopeatingyourfeed ...",https://i.ytimg.com/vi/_wRA47V3abk/default.jpg
2018-05-12T15:00:32Z,We Tried To Re-Create This Giant Cinnamon Roll,OH MY GOD THEY”RE GIGANTIC!” Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/52325 Eating ...,https://i.ytimg.com/vi/mAfkkgw_-68/default.jpg
2018-09-02T15:00:42Z,Giant Chocolate Souffle: Behind Tasty,Can get enough? Watch the final Giant Chocolate Souffle recipe now! - https://www.youtube.com/watch?v=2ffk64YopFo Follow Alix on instagram for more ...,https://i.ytimg.com/vi/PkHotdob_08/default.jpg
2019-01-20T16:00:06Z,I Made A Giant 3-Foot Pizza Slice • Tasty,"""We're going for one slice the size of FOUR entire pizzas."" Watch Alvin make a giant 3-foot pizza slice from scratch! Subscribe to Tasty: https://bzfd.it/2ri82Z1 ...",https://i.ytimg.com/vi/kwYXO54cLlI/default.jpg
